date,district_id,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-07-06,282,-72.57142857142857,-38.57142857142857,25.857142857142858,-70.14285714285714,-55.142857142857146,18.857142857142858
2020-07-06,283,-38.857142857142854,-12.428571428571429,106.14285714285714,-47.57142857142857,-41.42857142857143,15.0
2020-07-06,284,-31.0,-10.285714285714286,102.85714285714286,-48.142857142857146,-43.0,14.857142857142858
2020-07-06,285,-31.142857142857142,-11.714285714285714,68.0,-38.142857142857146,-38.0,13.285714285714286
2020-07-06,286,-41.0,-9.285714285714286,45.142857142857146,-41.57142857142857,-45.285714285714285,15.714285714285714
2020-07-06,287,-50.42857142857143,-7.285714285714286,94.85714285714286,-50.42857142857143,-48.0,16.428571428571427
2020-07-06,288,-63.285714285714285,-24.571428571428573,73.57142857142857,-56.857142857142854,-52.0,17.714285714285715
2020-07-06,289,-36.42857142857143,-14.142857142857142,85.57142857142857,-46.285714285714285,-49.285714285714285,15.714285714285714
2020-07-06,290,-38.857142857142854,-14.428571428571429,119.85714285714286,-44.857142857142854,-40.42857142857143,15.428571428571429
2020-07-06,291,-38.42857142857143,-10.142857142857142,59.57142857142857,-40.285714285714285,-39.0,13.571428571428571
2020-07-06,292,-45.42857142857143,-14.285714285714286,101.71428571428571,-70.71428571428571,-41.285714285714285,15.142857142857142
2020-07-06,293,-33.714285714285715,-13.428571428571429,73.71428571428571,-44.0,-43.142857142857146,14.857142857142858
2020-07-06,294,-68.0,-22.571428571428573,64.0,-62.857142857142854,-54.142857142857146,20.142857142857142
2020-07-06,295,-68.28571428571429,-15.0,21.285714285714285,-63.57142857142857,-49.285714285714285,18.5
2020-07-06,296,-43.857142857142854,-16.714285714285715,132.0,-43.857142857142854,-47.142857142857146,16.428571428571427
2020-07-06,297,-57.285714285714285,-13.714285714285714,37.42857142857143,-60.57142857142857,-50.857142857142854,18.142857142857142
2020-07-06,298,-33.714285714285715,-4.0,101.71428571428571,-47.42857142857143,-48.714285714285715,17.428571428571427
2020-07-06,299,-37.57142857142857,-13.857142857142858,75.71428571428571,-50.0,-45.285714285714285,16.428571428571427
2020-07-06,300,-42.57142857142857,-10.714285714285714,224.42857142857142,-47.714285714285715,-44.0,14.0
2020-07-06,301,-33.57142857142857,-9.142857142857142,117.57142857142857,-45.142857142857146,-42.0,14.714285714285714
2020-07-06,302,-42.714285714285715,-10.857142857142858,60.285714285714285,-48.57142857142857,-49.0,17.714285714285715
2020-07-06,303,-54.57142857142857,-21.0,11.142857142857142,-58.714285714285715,-51.42857142857143,18.428571428571427
2020-07-06,304,-37.142857142857146,-15.142857142857142,79.28571428571429,-46.857142857142854,-40.142857142857146,15.285714285714286
2020-07-06,305,-59.714285714285715,-19.714285714285715,-15.142857142857142,-55.857142857142854,-54.0,19.0
2020-07-06,306,-28.142857142857142,-11.571428571428571,75.85714285714286,-41.0,-44.57142857142857,14.571428571428571
2020-07-06,307,-44.42857142857143,-15.142857142857142,79.0,-51.714285714285715,-52.285714285714285,19.142857142857142
2020-07-06,308,-76.85714285714286,-43.714285714285715,-39.142857142857146,-72.28571428571429,-53.0,18.142857142857142
2020-07-13,276,-85.85714285714286,-66.0,-58.714285714285715,-74.57142857142857,-69.2,
2020-07-13,277,-27.142857142857142,-9.142857142857142,110.71428571428571,-34.857142857142854,-35.857142857142854,10.857142857142858
2020-07-13,278,-27.571428571428573,-12.0,146.71428571428572,-42.857142857142854,-44.142857142857146,14.428571428571429
2020-07-13,279,-31.142857142857142,-10.428571428571429,81.42857142857143,-43.57142857142857,-38.857142857142854,13.428571428571429
2020-07-13,280,-30.142857142857142,-9.714285714285714,167.28571428571428,-40.57142857142857,-40.57142857142857,13.0
2020-07-13,281,-30.857142857142858,-12.714285714285714,65.57142857142857,-46.857142857142854,-45.142857142857146,15.428571428571429
2020-07-13,282,-69.57142857142857,-39.0,38.142857142857146,-68.85714285714286,-54.57142857142857,17.285714285714285
2020-07-13,283,-33.0,-12.714285714285714,118.71428571428571,-47.142857142857146,-40.857142857142854,14.285714285714286
2020-07-13,284,-25.0,-10.571428571428571,128.57142857142858,-47.714285714285715,-42.0,13.714285714285714
2020-07-13,285,-26.857142857142858,-11.428571428571429,86.85714285714286,-37.714285714285715,-37.0,11.857142857142858
2020-07-13,286,-35.57142857142857,-9.857142857142858,59.42857142857143,-41.285714285714285,-44.142857142857146,14.714285714285714
2020-07-13,287,-43.714285714285715,-8.0,116.0,-49.857142857142854,-46.142857142857146,15.142857142857142
2020-07-13,288,-52.714285714285715,-26.571428571428573,78.14285714285714,-57.857142857142854,-50.714285714285715,16.428571428571427
2020-07-13,289,-30.857142857142858,-15.714285714285714,110.57142857142857,-46.857142857142854,-47.42857142857143,14.285714285714286
2020-07-13,290,-33.0,-14.142857142857142,166.0,-44.857142857142854,-39.857142857142854,14.428571428571429
2020-07-13,291,-32.285714285714285,-9.714285714285714,64.42857142857143,-41.57142857142857,-38.857142857142854,12.571428571428571
2020-07-13,292,-35.857142857142854,-13.571428571428571,123.42857142857143,-69.14285714285714,-40.714285714285715,14.0
2020-07-13,293,-29.0,-14.0,89.14285714285714,-41.857142857142854,-42.42857142857143,13.857142857142858
2020-07-13,294,-63.142857142857146,-23.857142857142858,80.0,-61.57142857142857,-52.0,18.285714285714285
2020-07-13,295,-64.0,-15.285714285714286,21.285714285714285,-64.14285714285714,-47.57142857142857,16.833333333333332
2020-07-13,296,-34.0,-17.428571428571427,96.0,-49.42857142857143,-46.42857142857143,15.285714285714286
2020-07-13,297,-49.714285714285715,-14.571428571428571,53.142857142857146,-60.42857142857143,-49.285714285714285,16.714285714285715
2020-07-13,298,-28.857142857142858,-4.285714285714286,120.71428571428571,-47.42857142857143,-47.857142857142854,16.142857142857142
2020-07-13,299,-33.285714285714285,-14.714285714285714,87.28571428571429,-50.57142857142857,-44.57142857142857,15.0
2020-07-13,300,-38.857142857142854,-10.857142857142858,272.57142857142856,-47.42857142857143,-43.42857142857143,13.142857142857142
2020-07-13,301,-27.857142857142858,-9.0,142.14285714285714,-46.142857142857146,-41.57142857142857,13.714285714285714
2020-07-13,302,-33.42857142857143,-11.571428571428571,84.28571428571429,-50.42857142857143,-47.714285714285715,16.142857142857142
2020-07-13,303,-49.857142857142854,-20.857142857142858,18.714285714285715,-58.285714285714285,-50.142857142857146,17.0
2020-07-13,304,-30.142857142857142,-14.571428571428571,98.14285714285714,-48.857142857142854,-39.857142857142854,14.142857142857142
2020-07-13,305,-54.57142857142857,-17.857142857142858,-3.2857142857142856,-57.42857142857143,-52.57142857142857,17.714285714285715
